filename,true_risk,pred_risk,missed_clauses,false_positives,bert_confidences
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",Medium,Low,"['Agreement Date', 'Document Name', 'Effective Date', 'Governing Law', 'Ip Ownership Assignment', 'No-Solicit Of Employees', 'Parties', 'Termination For Convenience']",[],{}
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,High,Medium,"['Change Of Control', 'Competitive Restriction Exception', 'Governing Law', 'Ip Ownership Assignment', 'Irrevocable Or Perpetual License', 'Minimum Commitment', 'Non-Compete', 'Parties', 'Rofr/Rofo/Rofn']","['Termination For Convenience', 'Volume Restriction']",{'Minimum Commitment': 0.107}
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF",Medium,Low,"['Agreement Date', 'Document Name', 'Effective Date', 'Exclusivity', 'Governing Law', 'Insurance', 'Minimum Commitment', 'Parties']",['Uncapped Liability'],"{'Parties': 0.081, 'Minimum Commitment': 0.089}"
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,High,Medium,"['Affiliate License-Licensee', 'Agreement Date', 'Anti-Assignment', 'Document Name', 'Exclusivity', 'Parties', 'Revenue/Profit Sharing', 'Termination For Convenience', 'Unlimited/All-You-Can-Eat-License', 'Volume Restriction']",['Notice Period To Terminate Renewal'],{}
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF",Medium,Low,"['Agreement Date', 'Cap On Liability', 'Document Name', 'Effective Date', 'Expiration Date', 'Governing Law', 'License Grant', 'Non-Transferable License', 'Parties']",[],{}
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,High,Low,"['Affiliate License-Licensee', 'Agreement Date', 'Cap On Liability', 'Change Of Control', 'Covenant Not To Sue', 'Document Name', 'Ip Ownership Assignment', 'Irrevocable Or Perpetual License', 'License Grant', 'Non-Transferable License', 'Parties', 'Termination For Convenience']",[],"{'Document Name': 0.103, 'Change Of Control': 0.087}"
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",High,Medium,"['Agreement Date', 'Anti-Assignment', 'Cap On Liability', 'Competitive Restriction Exception', 'Covenant Not To Sue', 'Document Name', 'Effective Date', 'Exclusivity', 'Governing Law', 'No-Solicit Of Employees', 'Non-Compete', 'Non-Transferable License', 'Parties', 'Post-Termination Services', 'Revenue/Profit Sharing', 'Third Party Beneficiary', 'Uncapped Liability']",[],"{'Covenant Not To Sue': 0.096, 'Non-Transferable License': 0.102}"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.pdf,High,Low,"['Exclusivity', 'Minimum Commitment', 'Non-Transferable License']",['Irrevocable Or Perpetual License'],"{'Exclusivity': 0.092, 'Minimum Commitment': 0.086, 'Non-Transferable License': 0.095}"
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.PDF,Medium,Low,"['Audit Rights', 'Competitive Restriction Exception', 'Document Name', 'Exclusivity', 'Governing Law', 'Ip Ownership Assignment', 'Minimum Commitment', 'Most Favored Nation', 'Non-Compete', 'Rofr/Rofo/Rofn', 'Third Party Beneficiary']",[],"{'Non-Compete': 0.085, 'Audit Rights': 0.083}"
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.PDF,High,Medium,"['Agreement Date', 'Anti-Assignment', 'Document Name', 'Effective Date', 'Ip Ownership Assignment', 'Minimum Commitment', 'Parties']",['Uncapped Liability'],{}
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT.PDF",Medium,Low,"['Agreement Date', 'Anti-Assignment', 'Audit Rights', 'Cap On Liability', 'Change Of Control', 'Document Name', 'Effective Date', 'Expiration Date', 'Governing Law', 'Liquidated Damages', 'Parties', 'Warranty Duration']",['Termination For Convenience'],"{'Anti-Assignment': 0.108, 'Expiration Date': 0.103, 'Document Name': 0.103, 'Change Of Control': 0.101}"
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,High,Low,"['Anti-Assignment', 'Audit Rights', 'Governing Law', 'Irrevocable Or Perpetual License', 'Revenue/Profit Sharing', 'Rofr/Rofo/Rofn']",[],{'Irrevocable Or Perpetual License': 0.099}
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.PDF,Low,Medium,[],['Notice Period To Terminate Renewal'],{}
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF,High,Medium,"['Anti-Assignment', 'Document Name', 'Exclusivity', 'Governing Law', 'Insurance', 'License Grant', 'Minimum Commitment', 'No-Solicit Of Customers', 'No-Solicit Of Employees', 'Parties', 'Post-Termination Services', 'Price Restrictions', 'Rofr/Rofo/Rofn']",['Notice Period To Terminate Renewal'],"{'Exclusivity': 0.084, 'Insurance': 0.094, 'Post-Termination Services': 0.094}"
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,High,Low,"['Agreement Date', 'Anti-Assignment', 'Cap On Liability', 'Document Name', 'Effective Date', 'Governing Law', 'Ip Ownership Assignment', 'Irrevocable Or Perpetual License', 'License Grant', 'No-Solicit Of Employees', 'Parties', 'Uncapped Liability']",[],{'License Grant': 0.109}
MSCIINC_02_28_2008-EX-10.10-.PDF,Medium,Low,"['Agreement Date', 'Cap On Liability', 'Document Name', 'Effective Date', 'Governing Law']",[],{}
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Medium,Low,"['Audit Rights', 'Renewal Term']",['Covenant Not To Sue'],{'Audit Rights': 0.057}
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,High,Low,"['Anti-Assignment', 'Governing Law', 'Ip Ownership Assignment', 'Irrevocable Or Perpetual License', 'License Grant', 'Minimum Commitment', 'Non-Transferable License', 'Post-Termination Services']",[],{'Post-Termination Services': 0.095}
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,High,Medium,"['Agreement Date', 'Exclusivity', 'Ip Ownership Assignment', 'License Grant', 'Minimum Commitment', 'Parties', 'Revenue/Profit Sharing']",[],"{'Exclusivity': 0.092, 'Ip Ownership Assignment': 0.102, 'Agreement Date': 0.087}"
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF,Medium,Low,"['Agreement Date', 'Anti-Assignment', 'Document Name', 'Effective Date', 'Governing Law', 'Insurance', 'Parties']",[],"{'Governing Law': 0.089, 'Effective Date': 0.08}"
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF,Medium,Low,"['Agreement Date', 'Competitive Restriction Exception', 'Revenue/Profit Sharing']",['Third Party Beneficiary'],{}
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,High,Low,"['Affiliate License-Licensee', 'Document Name', 'Governing Law', 'Insurance', 'Irrevocable Or Perpetual License', 'License Grant', 'Non-Transferable License', 'Parties', 'Termination For Convenience', 'Volume Restriction']",['Liquidated Damages'],"{'Termination For Convenience': 0.103, 'Insurance': 0.104}"
"Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF",Medium,Low,"['Agreement Date', 'Cap On Liability', 'Document Name', 'Exclusivity', 'Expiration Date', 'Governing Law', 'Minimum Commitment', 'Parties', 'Revenue/Profit Sharing']",['Effective Date'],"{'Parties': 0.107, 'Expiration Date': 0.086, 'Cap On Liability': 0.086}"
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.PDF,High,Low,"['Agreement Date', 'Audit Rights', 'Cap On Liability', 'Competitive Restriction Exception', 'Document Name', 'Governing Law', 'License Grant', 'Minimum Commitment', 'Non-Compete', 'Parties', 'Post-Termination Services', 'Revenue/Profit Sharing', 'Rofr/Rofo/Rofn', 'Uncapped Liability']",[],{'Non-Compete': 0.109}
